0;1;2;3;4;5;6;7;8;9;10;11
1651363200000;142.30000000;143.20000000;142.00000000;143.20000000;2924.59500000;1651363499999;417324.14360000;848;1760.14000000;251110.99200000;0
1651363500000;143.30000000;143.30000000;142.90000000;143.10000000;1074.76400000;1651363799999;153790.60980000;438;485.37400000;69463.94670000;0
1651363800000;143.10000000;143.20000000;142.20000000;142.30000000;1007.97900000;1651364099999;143685.71550000;476;576.63200000;82188.08010000;0
1651364100000;142.20000000;142.40000000;141.80000000;141.90000000;1025.19600000;1651364399999;145722.15890000;297;340.37800000;48405.74330000;0
1651364400000;141.80000000;141.90000000;141.10000000;141.40000000;1136.70300000;1651364699999;160789.61510000;431;834.69300000;118069.87360000;0
1651364700000;141.40000000;141.40000000;140.60000000;141.10000000;1851.00300000;1651364999999;260877.21470000;521;1125.50700000;158689.50830000;0
1651365000000;141.00000000;142.00000000;139.40000000;141.60000000;4912.04600000;1651365299999;691417.08230000;1744;2087.04600000;293570.10480000;0
1651365300000;141.50000000;143.60000000;141.20000000;142.90000000;3121.87700000;1651365599999;444736.40190000;957;2025.64800000;288788.97620000;0
1651365600000;143.00000000;143.30000000;142.40000000;142.60000000;1507.21900000;1651365899999;215193.41890000;492;911.64300000;130198.62170000;0
1651365900000;142.70000000;142.70000000;142.00000000;142.30000000;1015.34200000;1651366199999;144457.28400000;400;424.23100000;60344.82400000;0
1651366200000;142.30000000;142.30000000;141.60000000;142.10000000;1224.52800000;1651366499999;173815.98750000;418;711.02300000;100914.14930000;0
1651366500000;142.10000000;142.40000000;141.60000000;141.80000000;761.21800000;1651366799999;107991.34060000;281;498.62500000;70713.38510000;0
1651366800000;141.70000000;142.50000000;141.40000000;142.20000000;751.06600000;1651367099999;106662.35590000;322;345.86400000;49122.24560000;0
1651367100000;142.30000000;142.30000000;141.40000000;141.70000000;639.33800000;1651367399999;90644.39750000;208;318.42800000;45109.29040000;0
1651367400000;141.80000000;142.20000000;141.60000000;141.70000000;474.72300000;1651367699999;67380.76480000;196;244.90000000;34755.48250000;0
1651367700000;141.60000000;141.80000000;141.00000000;141.50000000;521.17700000;1651367999999;73723.10260000;270;300.01000000;42446.87030000;0
1651368000000;141.50000000;141.60000000;140.90000000;140.90000000;437.52600000;1651368299999;61781.43190000;186;146.04600000;20632.83320000;0
1651368300000;140.90000000;141.10000000;140.50000000;140.60000000;1086.74000000;1651368599999;152935.81370000;412;501.66600000;70594.77260000;0
1651368600000;140.80000000;141.00000000;140.10000000;140.20000000;428.41500000;1651368899999;60131.00790000;201;215.06000000;30182.64510000;0
1651368900000;140.20000000;141.20000000;138.90000000;140.90000000;1753.03000000;1651369199999;245224.52400000;1086;970.28000000;135871.49730000;0
1651369200000;140.80000000;143.70000000;140.80000000;143.40000000;3733.48800000;1651369499999;529646.43280000;1295;2544.15000000;360946.98880000;0
1651369500000;143.40000000;143.90000000;142.80000000;143.40000000;1723.33400000;1651369799999;246922.54110000;1065;811.46800000;116317.90740000;0
1651369800000;143.40000000;144.20000000;143.40000000;144.10000000;1193.03400000;1651370099999;171688.65920000;589;643.22100000;92575.24400000;0
